,hit_id,sample_id,subject_id,ref_id
0,OYVD01.1117.1_2/1-80,SAMN06165452,14952019,NA
1,UEPQ01.62.1_13/64-437,SAMN06115483,SAMN06115483,S9
2,UEPQ01.62.1_14/11-266,SAMN06115483,SAMN06115483,S63
3,OQDE01.41009.1_2/1-77,SAMD00036307,NA,NA
4,OWXA01.5389.1_2/11-266,SAMN05827029,P016497,S127
5,OWXA01.5389.1_1/97-239,SAMN05827029,P016497,S128
6,OYPH01.2748.1_1/63-178,SAMN06165653,50694555,NA
7,UPFD01.8591.1_2/63-436,SAMEA2737666,D124_G,S135
8,UPFD01.8591.1_3/11-266,SAMEA2737666,D124_G,S136
9,UPMZ01.5950.1_5/51-395,SAMEA2737808,NA,S137
10,UPMZ01.5950.1_6/3-237,SAMEA2737808,NA,S138
11,UPMZ01.79208.1_1/11-136,SAMEA2737808,NA,NA
12,UPMZ01.44144.1_1/64-137,SAMEA2737808,NA,NA
13,ORSC01.82376.1_1/1-172,SAMEA2338681,NA,NA
14,OYMM01.161.1_3/65-438,SAMN06165493,17437941,S235
15,OYMM01.161.1_2/11-266,SAMN06165493,17437941,S236
16,OYMM01.4356.1_1/53-210,SAMN06165493,17437941,NA
17,OYMM01.4732.1_1/11-160,SAMN06165493,17437941,NA
18,UEYD01.35306.1_1/33-281,SAMN06115506,SAMN06115506,NA
19,OPSF01.12557.1_1/64-428,SAMEA2042111,NA,S237
20,QWCE01.3417.1_7/64-437,SAMN09866716,NA,S9
21,QWCE01.34300.1_2/44-392,SAMN09866716,NA,S238
22,QWCE01.3417.1_6/11-266,SAMN09866716,NA,S63
23,QWCE01.148739.1_1/3-193,SAMN09866716,NA,S239
24,QWCE01.143185.1_1/1-188,SAMN09866716,NA,S240
25,QWCE01.34300.1_3/4-136,SAMN09866716,NA,S241
26,OWCY01.6912.1_3/63-436,SAMEA3708620,SAMEA3708620,S242
27,OWCY01.6912.1_2/11-266,SAMEA3708620,SAMEA3708620,S243
28,OWCY01.44532.1_1/11-266,SAMEA3708620,SAMEA3708620,S63
29,ORRJ01.13417.1_2/63-436,SAMEA2338649,NA,S244
30,ORRJ01.22585.1_1/1-245,SAMEA2338649,NA,S245
31,UERO01.20183.1_1/64-437,SAMN06115397,SAMN06115397,S9
